production_number,case,source_cases,physical_number,source_path_relative,recommended_format,source_media,source_bytes,sha256,target_directory,target_media,preflight_state
145,02035--cbtower02-ng--6cb385f6,02035--cbtower02-ng--6cb385f6,1,W3DZH.big\Art\W3D\CBTower02_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02035--cbtower02-ng--6cb385f6\Civilian - Civilian Building - Tall Tower 02 - CBTower02_NG.gif,23262,7d325fa7d8cfafd91d7225437a03616a0db44abfa194e49d42bbdd320af6ed11,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Tall Tower 02 - CBTower02_NG.gif,new
146,01496--cbntmhvmn-g--75c90673,01496--cbntmhvmn-g--75c90673,1,W3DZH.big\Art\W3D\CBNTmHvMN_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01496--cbntmhvmn-g--75c90673\Civilian - Civilian Building - Temple Of Heaven Main Temple - CBNTmHvMN_G.gif,43139,d1b0c7e51a7c5ed4902495271a75ca5b8d3fd90fcc456e4f12f26163d559ec59,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Temple Of Heaven Main Temple - CBNTmHvMN_G.gif,new
147,05699--cbttent01-dg--45a6c2eb,05699--cbttent01-dg--45a6c2eb,1,ZH_Generals\W3D.big\Art\W3D\CBTTent01_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05699--cbttent01-dg--45a6c2eb\Civilian - Civilian Building - Tent 01 - CBTTent01_DG.gif,56526,d2e93589cb5813488b1088eab7fe3ccfae768dc115bc9ab7b5b9a56a79fd1016,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Tent 01 - CBTTent01_DG.gif,new
148,05704--cbttent02-dg--3aafeba1,05704--cbttent02-dg--3aafeba1,1,ZH_Generals\W3D.big\Art\W3D\CBTTent02_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05704--cbttent02-dg--3aafeba1\Civilian - Civilian Building - Tent 02 - CBTTent02_DG.gif,55797,42e1b7a33b5fcf9f3405d7b3186e582e026143a047920b6a7827a20e054932ba,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Tent 02 - CBTTent02_DG.gif,new
149,05715--cbttent03-dg--9ade88d4,05715--cbttent03-dg--9ade88d4,1,ZH_Generals\W3D.big\Art\W3D\CBTTent03_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05715--cbttent03-dg--9ade88d4\Civilian - Civilian Building - Tent 03 - CBTTent03_DG.gif,60931,3d5b55cbbc865fe1325d97afab86d2204ff94ccc288ab7daf6261cd2042c3a09,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Tent 03 - CBTTent03_DG.gif,new
150,05720--cbttent04-dg--28cb76ba,05720--cbttent04-dg--28cb76ba,1,ZH_Generals\W3D.big\Art\W3D\CBTTent04_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05720--cbttent04-dg--28cb76ba\Civilian - Civilian Building - Tent 04 - CBTTent04_DG.gif,33392,e5ee1c2c97174557e189b657b91a25ab236b29124beb4369a3da57a41046e91c,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Tent 04 - CBTTent04_DG.gif,new
152,02366--cine-bbus--e7ec7d1f,02366--cine-bbus--e7ec7d1f,1,W3DZH.big\Art\W3D\CINE U 06 B Bus - CINE_BBus.w3d,mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02366--cine-bbus--e7ec7d1f\Civilian - Civilian Building - U 06 B Bus - CINE_BBus.mp4,102121,5c2f24ca91f031fb8d71af431d97626a3f40ed33d29cf38e8d29e3d26819c360,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - U 06 B Bus - CINE_BBus.mp4,new
153,05519--cbtower03-g--7c3ee3d5,05519--cbtower03-g--7c3ee3d5,1,ZH_Generals\W3D.big\Art\W3D\CBTower03_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05519--cbtower03-g--7c3ee3d5\Civilian - Civilian Building - Watch Tower 03 - CBTower03_G.gif,35718,7b8eb40656a0fa6b3305734aab8f5350a5f8e3b1c3b02962626be9aff217f91a,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Watch Tower 03 - CBTower03_G.gif,new
154,04560--cbh2oplnt-g--270a162a,04560--cbh2oplnt-g--270a162a,1,ZH_Generals\W3D.big\Art\W3D\CBH2oPlnt_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04560--cbh2oplnt-g--270a162a\Civilian - Civilian Building - Water Plant - CBH2oPlnt_G.gif,46008,9e50d9d28053889878e53295adb371f409ee98d46980563fb110db95912e6c98,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Water Plant - CBH2oPlnt_G.gif,new
157,01573--cboffice01-dg--225ae396,01573--cboffice01-dg--225ae396,1,W3DZH.big\Art\W3D\CBoffice01_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01573--cboffice01-dg--225ae396\Civilian - Civilian Building - office 01 DG - CBoffice01_DG.gif,44048,e68e8c80de7b9259fe602ca4f99c1c5a2aa44a470e595db75e4ac3a80e01fe77,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 DG - CBoffice01_DG.gif,new
158,01575--cboffice01-dng--8c4a1320,01575--cboffice01-dng--8c4a1320,1,W3DZH.big\Art\W3D\CBoffice01_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01575--cboffice01-dng--8c4a1320\Civilian - Civilian Building - office 01 DNG - CBoffice01_DNG.gif,44048,e68e8c80de7b9259fe602ca4f99c1c5a2aa44a470e595db75e4ac3a80e01fe77,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 DNG - CBoffice01_DNG.gif,new
159,01577--cboffice01-dsg--c65e4c4c,01577--cboffice01-dsg--c65e4c4c,1,W3DZH.big\Art\W3D\CBoffice01_DSG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01577--cboffice01-dsg--c65e4c4c\Civilian - Civilian Building - office 01 DSG - CBoffice01_DSG.gif,45245,da945c90374583f492e7c1b260f2b4850344ae8b72dd92b9703446c7472669a3,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 DSG - CBoffice01_DSG.gif,new
160,01579--cboffice01-dsng--15d9d73d,01579--cboffice01-dsng--15d9d73d,1,W3DZH.big\Art\W3D\CBoffice01_DSNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01579--cboffice01-dsng--15d9d73d\Civilian - Civilian Building - office 01 DSNG - CBoffice01_DSNG.gif,45245,da945c90374583f492e7c1b260f2b4850344ae8b72dd92b9703446c7472669a3,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 DSNG - CBoffice01_DSNG.gif,new
161,01584--cboffice01-g--d662f874,01584--cboffice01-g--d662f874,1,W3DZH.big\Art\W3D\CBoffice01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01584--cboffice01-g--d662f874\Civilian - Civilian Building - office 01 G - CBoffice01_G.gif,72669,27786f9867bb43e1fcaecbe5669ae76c18f98c06c70e73e7a5ab9fdd2d77fec7,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 G - CBoffice01_G.gif,new
162,01586--cboffice01-ng--0faf6a85,01586--cboffice01-ng--0faf6a85,1,W3DZH.big\Art\W3D\CBoffice01_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01586--cboffice01-ng--0faf6a85\Civilian - Civilian Building - office 01 NG - CBoffice01_NG.gif,72669,27786f9867bb43e1fcaecbe5669ae76c18f98c06c70e73e7a5ab9fdd2d77fec7,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 NG - CBoffice01_NG.gif,new
163,01592--cboffice01-sg--83a463be,01592--cboffice01-sg--83a463be,1,W3DZH.big\Art\W3D\CBoffice01_SG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01592--cboffice01-sg--83a463be\Civilian - Civilian Building - office 01 SG - CBoffice01_SG.gif,76132,9bec770d298d9cf76ad25a2a0b535d9f6f8a573793b104ef39522b6761634abf,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 SG - CBoffice01_SG.gif,new
164,01594--cboffice01-sng--da923da1,01594--cboffice01-sng--da923da1,1,W3DZH.big\Art\W3D\CBoffice01_SNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01594--cboffice01-sng--da923da1\Civilian - Civilian Building - office 01 SNG - CBoffice01_SNG.gif,76132,9bec770d298d9cf76ad25a2a0b535d9f6f8a573793b104ef39522b6761634abf,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - office 01 SNG - CBoffice01_SNG.gif,new
165,04791--cbnbank-g--74de42c7,04791--cbnbank-g--74de42c7,1,ZH_Generals\W3D.big\Art\W3D\CBNBank_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04791--cbnbank-g--74de42c7\Civilian - Commercial Building - Asian Bank - CBNBank_G.gif,56433,3ede54178a2109040d4125f5aafe72527608be4033b9d71626a7c7cbed0d6fe0,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Bank - CBNBank_G.gif,new
166,04866--cbnelecrtl-g--8d43126b,04866--cbnelecrtl-g--8d43126b,1,ZH_Generals\W3D.big\Art\W3D\CBNElecRtl_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04866--cbnelecrtl-g--8d43126b\Civilian - Commercial Building - Asian Electric Retail - CBNElecRtl_G.gif,56963,6692cb4671748bf98bff35040f9ad7522f133dda982a9bd9d1c75d71de59191b,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Electric Retail - CBNElecRtl_G.gif,new
167,04925--cbnhotel01-g--df5a4a02,04925--cbnhotel01-g--df5a4a02,1,ZH_Generals\W3D.big\Art\W3D\CBNHotel01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04925--cbnhotel01-g--df5a4a02\Civilian - Commercial Building - Asian Hotel 01 - CBNHotel01_G.gif,51233,c9dfe94b8f8567df78bddb4e61ca1d7f29d5ef89ba256d97f1f494f2a443485e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Hotel 01 - CBNHotel01_G.gif,new
169,04944--cbnmegamal-g--d79994cb,04944--cbnmegamal-g--d79994cb,1,ZH_Generals\W3D.big\Art\W3D\CBNMegaMal_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04944--cbnmegamal-g--d79994cb\Civilian - Commercial Building - Asian Mega Mall 01 - CBNMegaMal_G.gif,52340,19cda036f6a98af3916ba3dbbbba917e79dfd8ec50278b7bea759549ccaa42e5,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Mega Mall 01 - CBNMegaMal_G.gif,new
170,04963--cbnretal01-g--1bf30f04,04963--cbnretal01-g--1bf30f04,1,ZH_Generals\W3D.big\Art\W3D\CBNRetal01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04963--cbnretal01-g--1bf30f04\Civilian - Commercial Building - Asian Retail Store 01 - CBNRetal01_G.gif,64649,38c4e328cdce5cb01139e103605509fb45e40de78edc5540366b3504570dec40,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Retail Store 01 - CBNRetal01_G.gif,new
171,04969--cbnretal02-dg--992a397e,04969--cbnretal02-dg--992a397e,1,ZH_Generals\W3D.big\Art\W3D\CBNRetal02_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04969--cbnretal02-dg--992a397e\Civilian - Commercial Building - Asian Retail Store 02 - CBNRetal02_DG.gif,44706,eb689cc99cbaa0b936175caad39bd0aac5afe7df9949cdd753fa7350068b7e68,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Asian Retail Store 02 - CBNRetal02_DG.gif,new
172,02404--cmfastfoo-g--23b3e446,02404--cmfastfoo-g--23b3e446,1,W3DZH.big\Art\W3D\CMFastFoo_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02404--cmfastfoo-g--23b3e446\Civilian - Commercial Building - Fast Food - CMFastFoo_G.gif,183750,d28114e56d78754d19e2acd5dcd91eefdb159ca371e57079971901f98fd876c5,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Commercial Building - Fast Food - CMFastFoo_G.gif,new
173,04441--cbgassttn-g--678da136,04441--cbgassttn-g--678da136,1,ZH_Generals\W3D.big\Art\W3D\CBGasSttn_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04441--cbgassttn-g--678da136\Civilian - Commercial Building - Gas Station - CBGasSttn_G.gif,77674,4cabc43a483e5e4a0933ac788864c88655393b86e4ffa8aa1125d9e3aa5a7749,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Gas Station - CBGasSttn_G.gif,new
174,04894--cbngasst-g--e69d01d3,04894--cbngasst-g--e69d01d3,1,ZH_Generals\W3D.big\Art\W3D\CBNGasSt_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04894--cbngasst-g--e69d01d3\Civilian - Commercial Building - Gas Station 03 - CBNGasSt_g.gif,74922,eff12dc2740a5e5cf0fbc9c953937b335a8287919b1f1d8c575593e21d70b51a,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Gas Station 03 - CBNGasSt_g.gif,new
175,04524--cbgshop-dg--d276b65b,04524--cbgshop-dg--d276b65b,1,ZH_Generals\W3D.big\Art\W3D\CBGShop_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04524--cbgshop-dg--d276b65b\Civilian - Commercial Building - German Pub 01 - CBGShop_DG.gif,62081,cb9a316ce675c9b183b816622369ba6a6fa8d164177e2b06c94f8b4b0f18ea4d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - German Pub 01 - CBGShop_DG.gif,new
176,00831--cbgreshop-g--69b36d99,00831--cbgreshop-g--69b36d99,1,W3DZH.big\Art\W3D\CBGRESHOP_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00831--cbgreshop-g--69b36d99\Civilian - Commercial Building - Greek Shop - CBGRESHOP_G.gif,68985,c475a2ce70e939d4eaacce020cc009505ebb9867d19a1fdcdbb7df5fda73e222,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Commercial Building - Greek Shop - CBGRESHOP_G.gif,new
177,05310--cbthotel03-g--f8a709cd,05310--cbthotel03-g--f8a709cd,1,ZH_Generals\W3D.big\Art\W3D\CBTHotel03_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05310--cbthotel03-g--f8a709cd\Civilian - Commercial Building - International Hotel 01 - CBTHotel03_G.gif,42723,f18d76e82ecb833bcb28fb71f046f94433dac78ec39cf52d486991ab129ea90c,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - International Hotel 01 - CBTHotel03_G.gif,new
178,04653--cbmogdis03-dg--c53bcf7c,04653--cbmogdis03-dg--c53bcf7c,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis03_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04653--cbmogdis03-dg--c53bcf7c\Civilian - Commercial Building - Mogadishu Shop 01 - CBMogdis03_DG.gif,42845,754aa482cbb39f8c055f5f9e417942f1f11a0f5b223711c3ad330e50a6f81c1d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Mogadishu Shop 01 - CBMogdis03_DG.gif,new
179,04670--cbmogdis04-dg--444367b0,04670--cbmogdis04-dg--444367b0,1,ZH_Generals\W3D.big\Art\W3D\CBMogdis04_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04670--cbmogdis04-dg--444367b0\Civilian - Commercial Building - Mogadishu Shop 02 - CBMogdis04_DG.gif,42266,e0dee1e114410ecafb361fbb67ef04562e6bca442329690fff5e9877b2808847,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Mogadishu Shop 02 - CBMogdis04_DG.gif,new
180,05631--cbtsmlapt-gd--d93af5f7,05631--cbtsmlapt-gd--d93af5f7,1,ZH_Generals\W3D.big\Art\W3D\CBTSmlApt_GD.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05631--cbtsmlapt-gd--d93af5f7\Civilian - Commercial Building - Mogadishu Small Apartment - CBTSmlApt_GD.gif,74579,f365eb5c8fcb3aeae41e68ccea4893ec07b108743abc58e6cb857745d1e069ff,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Mogadishu Small Apartment - CBTSmlApt_GD.gif,new
181,04982--cbnretal03-g--968f9078,04982--cbnretal03-g--968f9078,1,ZH_Generals\W3D.big\Art\W3D\CBNRetal03_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04982--cbnretal03-g--968f9078\Civilian - Commercial Building - Retail 01 - CBNRetal03_G.gif,55760,e565498a938a9073018784470f03293706f7735f3fea6009a94fffc459bf2375,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Retail 01 - CBNRetal03_G.gif,new
182,04992--cbnretal05-g--43ef8692,04992--cbnretal05-g--43ef8692,1,ZH_Generals\W3D.big\Art\W3D\CBNRetal05_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04992--cbnretal05-g--43ef8692\Civilian - Commercial Building - Retail 03 - CBNRetal05_G.gif,43606,c9535cf3847a130d1bfcab85d8eb136164b0ee5002c9305395840c4aba1315f8,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Retail 03 - CBNRetal05_G.gif,new
183,00332--cbamershp1-g--deef7452,00332--cbamershp1-g--deef7452,1,W3DZH.big\Art\W3D\CBAmerShp1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00332--cbamershp1-g--deef7452\Civilian - Commercial Building - Shop 01 - CBAmerShp1_G.gif,71862,7b74b20c40fa1a439bac698ee64f3200179487a0c5e9af9a9266641f1d79104c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Commercial Building - Shop 01 - CBAmerShp1_G.gif,new
184,00337--cbamershp2-g--b71472cf,00337--cbamershp2-g--b71472cf,1,W3DZH.big\Art\W3D\CBAmerShp2_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00337--cbamershp2-g--b71472cf\Civilian - Commercial Building - Shop 02 - CBAmerShp2_G.gif,66186,d888cd28186b3bcb9df3257ccb93030b614d1e3f1e51872c9fbad8ac57474088,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Commercial Building - Shop 02 - CBAmerShp2_G.gif,new
185,05111--cbsovbld2-g--1259e0af,05111--cbsovbld2-g--1259e0af,1,ZH_Generals\W3D.big\Art\W3D\CBsovbld2_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05111--cbsovbld2-g--1259e0af\Civilian - Commercial Building - Soviet Government Building Small - CBsovbld2_G.gif,60936,aae60d1a4ef5a043e5c61e497d2e7a40a081f7e6488fca9c120e9056b7430578,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Soviet Government Building Small - CBsovbld2_G.gif,new
186,05262--cbtgasstn-g--37a8f230,05262--cbtgasstn-g--37a8f230,1,ZH_Generals\W3D.big\Art\W3D\CBTGasStn_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05262--cbtgasstn-g--37a8f230\Civilian - Commercial Building - Stan Gas Station - CBTGasStn_G.gif,78335,6a64a7e699666717cd51a7f501501400e7d80d171474ed9c86d1e2f7ae4b1f58,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Stan Gas Station - CBTGasStn_G.gif,new
187,05293--cbthotel01-dg--19a846ff,05293--cbthotel01-dg--19a846ff,1,ZH_Generals\W3D.big\Art\W3D\CBThotel01_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05293--cbthotel01-dg--19a846ff\Civilian - Commercial Building - Stan Hotel 01 - CBThotel01_dg.gif,48056,1d7b1a7da015432e33f63f9fe57b5d612aa52a32d1cc3a5dc75c054a2c7b8526,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Stan Hotel 01 - CBThotel01_dg.gif,new
188,01781--cbthotel02-dng--070a576e,01781--cbthotel02-dng--070a576e,1,W3DZH.big\Art\W3D\CBTHotel02_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01781--cbthotel02-dng--070a576e\Civilian - Commercial Building - Stan Hotel 02 - CBTHotel02_dng.gif,47561,386d17e11fe0a0262c476647753f9ed79bf55af41631663cb2c5155f5cdcc283,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Commercial Building - Stan Hotel 02 - CBTHotel02_dng.gif,new
189,05604--cbtrestrn1-g--5dcd9427,05604--cbtrestrn1-g--5dcd9427,1,ZH_Generals\W3D.big\Art\W3D\CBTRestrn1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05604--cbtrestrn1-g--5dcd9427\Civilian - Commercial Building - Stan Restaurant 01 - CBTRestrn1_G.gif,51760,0f122d4d2fc19cc6e58edf50becc40edcbf8314c87f5e22ea027cc2fb0ab03b9,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Stan Restaurant 01 - CBTRestrn1_G.gif,new
190,05615--cbtrestrn2-g--86149d75,05615--cbtrestrn2-g--86149d75,1,ZH_Generals\W3D.big\Art\W3D\CBTRestrn2_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05615--cbtrestrn2-g--86149d75\Civilian - Commercial Building - Stan Restaurant 02 - CBTRestrn2_G.gif,59271,d07f6ce0444529a59dbc1bd04ec9b5c0838c5700a5b2c60df519b786da469f7f,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Commercial Building - Stan Restaurant 02 - CBTRestrn2_G.gif,new
