production_number,case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,rendered_format,review_decision,recommended_format,review_notes,rendered_media,recommended_media,reused_reviewed_pilot
264,03437--ubprison-a4sn--3022d5a0,W3DZH.big\Art\W3D\UBPrison_A4SN.w3d,GLA,Base Building,Prison A 4 SN,UBPrison_A4SN,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03437--ubprison-a4sn--3022d5a0\GLA - Base Building - Prison A 4 SN - UBPrison_A4SN.gif,,False
265,03441--ubprison-a6sn--abaff1da,W3DZH.big\Art\W3D\UBPrison_A6SN.w3d,GLA,Base Building,Prison A 6 SN,UBPrison_A6SN,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03441--ubprison-a6sn--abaff1da\GLA - Base Building - Prison A 6 SN - UBPrison_A6SN.gif,,False
266,03443--ubprison-a7d--ca7be91e,W3DZH.big\Art\W3D\UBPrison_A7D.w3d,GLA,Base Building,Prison A 7 D,UBPrison_A7D,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03443--ubprison-a7d--ca7be91e\GLA - Base Building - Prison A 7 D - UBPrison_A7D.gif,,False
267,03444--ubprison-a7e--d699e199,W3DZH.big\Art\W3D\UBPrison_A7E.w3d,GLA,Base Building,Prison A 7 E,UBPrison_A7E,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03444--ubprison-a7e--d699e199\GLA - Base Building - Prison A 7 E - UBPrison_A7E.gif,,False
268,03446--ubprison-af--3fd3782d,W3DZH.big\Art\W3D\UBPrison_AF.w3d,GLA,Base Building,Prison AF,UBPrison_AF,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03446--ubprison-af--3fd3782d\GLA - Base Building - Prison AF - UBPrison_AF.gif,,False
269,03459--ubpwrplant-en--f5cc3a40,W3DZH.big\Art\W3D\UBPwrPlant_EN.w3d,GLA,Base Building,Pwr Plant,UBPwrPlant_EN,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03459--ubpwrplant-en--f5cc3a40\GLA - Base Building - Pwr Plant - UBPwrPlant_EN.gif,,False
270,03191--ubrsrchlb--1a5cec09,W3DZH.big\Art\W3D\Secret Research Lab - UBRsrchLb.w3d,GLA,Base Building,Secret Research Lab,UBRsrchLb,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03191--ubrsrchlb--1a5cec09\GLA - Base Building - Secret Research Lab - UBRsrchLb.gif,,False
271,03494--ubsnatk-sanm--8b5bb3f8,W3DZH.big\Art\W3D\UBSnAtk_Sanm.w3d,GLA,Base Building,Sneak Attack Tunnel Network Start,UBSnAtk_Sanm,gif,publish,mp4,Tunnel opening is a coherent deployment sequence.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03494--ubsnatk-sanm--8b5bb3f8\GLA - Base Building - Sneak Attack Tunnel Network Start - UBSnAtk_Sanm.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03494--ubsnatk-sanm--8b5bb3f8\GLA - Base Building - Sneak Attack Tunnel Network Start - UBSnAtk_Sanm.mp4,False
272,03523--ubsupplyf--887263f0,W3DZH.big\Art\W3D\UBSupplyF.w3d,GLA,Base Building,Supply F,UBSupplyF,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03523--ubsupplyf--887263f0\GLA - Base Building - Supply F - UBSupplyF.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03523--ubsupplyf--887263f0\GLA - Base Building - Supply F - UBSupplyF.gif,False
273,03525--ubsupplyf-ns--674879eb,W3DZH.big\Art\W3D\UBSupplyF_NS.w3d,GLA,Base Building,Supply F NS,UBSupplyF_NS,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03525--ubsupplyf-ns--674879eb\GLA - Base Building - Supply F NS - UBSupplyF_NS.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03525--ubsupplyf-ns--674879eb\GLA - Base Building - Supply F NS - UBSupplyF_NS.gif,False
274,07219--ubsupply-a4sn--f7856880,ZH_Generals\W3D.big\Art\W3D\UBSupply_A4SN.w3d,GLA,Base Building,Supply Stash,UBSupply_A4SN,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07219--ubsupply-a4sn--f7856880\GLA - Base Building - Supply Stash - UBSupply_A4SN.gif,,False
275,07243--ubundtunn-a6sn--95f68ca1,ZH_Generals\W3D.big\Art\W3D\UBUndTunn_A6SN.w3d,GLA,Base Building,Tunnel Network,UBUndTunn_A6SN,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07243--ubundtunn-a6sn--95f68ca1\GLA - Base Building - Tunnel Network - UBUndTunn_A6SN.gif,,False
276,07203--ubstingers-a6sn--e737437d,ZH_Generals\W3D.big\Art\W3D\UBStingerS_A6SN.w3d,GLA,Base Defense,Stinger Site,UBStingerS_A6SN,mp4,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07203--ubstingers-a6sn--e737437d\GLA - Base Defense - Stinger Site - UBStingerS_A6SN.mp4,,False
277,02308--ubcmdhqc--55903bdc,"W3DZH.big\Art\W3D\Chem Fake GLA Command Center, Chem GLA Command Center, GC Chem GLA Command Center - UBCmdHQC.w3d",GLA,Base Infrastructure,Command Center,UBCmdHQC,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02308--ubcmdhqc--55903bdc\GLA - Base Infrastructure - Command Center - UBCmdHQC.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02308--ubcmdhqc--55903bdc\GLA - Base Infrastructure - Command Center - UBCmdHQC.gif,True
278,03350--ubcmdhqeg--752830d8,W3DZH.big\Art\W3D\UBCmdHqEG.w3d,GLA,Base Infrastructure,Fake GLA Command Center,UBCmdHqEG,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03350--ubcmdhqeg--752830d8\GLA - Base Infrastructure - Fake GLA Command Center - UBCmdHqEG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03350--ubcmdhqeg--752830d8\GLA - Base Infrastructure - Fake GLA Command Center - UBCmdHqEG.gif,True
279,02586--uvbattbushd--987c0a07,W3DZH.big\Art\W3D\GLA Vehicle Battle Bus High Def - UVBattBusHD.w3d,GLA,Ground Vehicles,Battle Bus High Def,UVBattBusHD,mp4,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02586--uvbattbushd--987c0a07\GLA - Ground Vehicles - Battle Bus High Def - UVBattBusHD.mp4,,False
280,03579--uvcombikejacker--b00a5886,W3DZH.big\Art\W3D\UVComBikeJacker.w3d,GLA,Ground Vehicles,Com Bike Jacker,UVComBikeJacker,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03579--uvcombikejacker--b00a5886\GLA - Ground Vehicles - Com Bike Jacker - UVComBikeJacker.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03579--uvcombikejacker--b00a5886\GLA - Ground Vehicles - Com Bike Jacker - UVComBikeJacker.mp4,True
281,03581--uvcombikejacker-r--8f7194c3,W3DZH.big\Art\W3D\UVComBikeJacker_r.w3d,GLA,Ground Vehicles,Com Bike Jacker r,UVComBikeJacker_r,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03581--uvcombikejacker-r--8f7194c3\GLA - Ground Vehicles - Com Bike Jacker r - UVComBikeJacker_r.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03581--uvcombikejacker-r--8f7194c3\GLA - Ground Vehicles - Com Bike Jacker r - UVComBikeJacker_r.mp4,False
282,03582--uvcombiketer--1799fd75,W3DZH.big\Art\W3D\UVComBikeTer.w3d,GLA,Ground Vehicles,Com Bike Ter,UVComBikeTer,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03582--uvcombiketer--1799fd75\GLA - Ground Vehicles - Com Bike Ter - UVComBikeTer.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03582--uvcombiketer--1799fd75\GLA - Ground Vehicles - Com Bike Ter - UVComBikeTer.mp4,True
283,03584--uvcombiketer-r--d51d0cb9,W3DZH.big\Art\W3D\UVComBikeTer_r.w3d,GLA,Ground Vehicles,Com Bike Ter r,UVComBikeTer_r,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03584--uvcombiketer-r--d51d0cb9\GLA - Ground Vehicles - Com Bike Ter r - UVComBikeTer_r.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03584--uvcombiketer-r--d51d0cb9\GLA - Ground Vehicles - Com Bike Ter r - UVComBikeTer_r.mp4,False
284,03591--uvcombiketunfan--c18f8081,W3DZH.big\Art\W3D\UVComBikeTunFan.w3d,GLA,Ground Vehicles,Com Bike Tun Fan,UVComBikeTunFan,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03591--uvcombiketunfan--c18f8081\GLA - Ground Vehicles - Com Bike Tun Fan - UVComBikeTunFan.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03591--uvcombiketunfan--c18f8081\GLA - Ground Vehicles - Com Bike Tun Fan - UVComBikeTunFan.mp4,False
285,03593--uvcombiketunfan-r--7e13c6bf,W3DZH.big\Art\W3D\UVComBikeTunFan_r.w3d,GLA,Ground Vehicles,Com Bike Tun Fan r,UVComBikeTunFan_r,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03593--uvcombiketunfan-r--7e13c6bf\GLA - Ground Vehicles - Com Bike Tun Fan r - UVComBikeTunFan_r.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03593--uvcombiketunfan-r--7e13c6bf\GLA - Ground Vehicles - Com Bike Tun Fan r - UVComBikeTunFan_r.mp4,False
286,03586--uvcombiketn-a1--b2268cbc,W3DZH.big\Art\W3D\UVComBikeTn_A1.w3d,GLA,Ground Vehicles,Combat Bike,UVComBikeTn_A1,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03586--uvcombiketn-a1--b2268cbc\GLA - Ground Vehicles - Combat Bike - UVComBikeTn_A1.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03586--uvcombiketn-a1--b2268cbc\GLA - Ground Vehicles - Combat Bike - UVComBikeTn_A1.mp4,False
287,05785--uvquadcann--9c410ec0,"ZH_Generals\W3D.big\Art\W3D\Chem GLA Vehicle Quad Cannon, CINE GLA Vehicle Quad Cannon, Demo GLA Vehicle Quad Cannon, GC Chem GLA Vehicle Quad Cannon, GC Slth GLA Vehicle Quad - UVQuadCann.w3d",GLA,Ground Vehicles,Quad Cannon,UVQuadCann,mp4,publish,mp4,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05785--uvquadcann--9c410ec0\GLA - Ground Vehicles - Quad Cannon - UVQuadCann.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05785--uvquadcann--9c410ec0\GLA - Ground Vehicles - Quad Cannon - UVQuadCann.mp4,False
288,05786--uvradarvan--f750bcf7,"ZH_Generals\W3D.big\Art\W3D\Chem GLA Vehicle Radar Van, Demo GLA Vehicle Radar Van, GC Chem GLA Vehicle Radar Van, GC Slth GLA Vehicle Radar Van, GLA Vehicle Radar Van, Slth G - UVRadarVan.w3d",GLA,Ground Vehicles,Radar Van,UVRadarVan,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05786--uvradarvan--f750bcf7\GLA - Ground Vehicles - Radar Van - UVRadarVan.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05786--uvradarvan--f750bcf7\GLA - Ground Vehicles - Radar Van - UVRadarVan.gif,True
289,07077--ubbarracks-r--fc5bd15c,ZH_Generals\W3D.big\Art\W3D\UBBarracks_R.w3d,GLA,Production Building,=,UBBarracks_R,gif,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07077--ubbarracks-r--fc5bd15c\GLA - Production Building - = - UBBarracks_R.gif,,False
290,05775--ubarmdeal--d8da7ade,"ZH_Generals\W3D.big\Art\W3D\Chem Fake GLA Arms Dealer, Chem GLA Arms Dealer, Demo Fake GLA Arms Dealer, Demo GLA Arms Dealer, Fake GLA Arms Dealer, GC Chem GLA Arms Dealer, GC - UBArmDeal.w3d",GLA,Production Building,Arms Dealer,UBArmDeal,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05775--ubarmdeal--d8da7ade\GLA - Production Building - Arms Dealer - UBArmDeal.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05775--ubarmdeal--d8da7ade\GLA - Production Building - Arms Dealer - UBArmDeal.gif,True
291,03259--ubbarrkseg--5b89109d,W3DZH.big\Art\W3D\UBBarrksEG.w3d,GLA,Production Building,Barracks,UBBarrksEG,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03259--ubbarrkseg--5b89109d\GLA - Production Building - Barracks - UBBarrksEG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03259--ubbarrkseg--5b89109d\GLA - Production Building - Barracks - UBBarrksEG.gif,True
292,03255--ubbarracksf--94330a3a,W3DZH.big\Art\W3D\UBBarracksF.w3d,GLA,Production Building,Barracks F,UBBarracksF,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03255--ubbarracksf--94330a3a\GLA - Production Building - Barracks F - UBBarracksF.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03255--ubbarracksf--94330a3a\GLA - Production Building - Barracks F - UBBarracksF.gif,True
293,07174--ubscudstrm-acs--544d6fce,ZH_Generals\W3D.big\Art\W3D\UBScudStrm_ACS.w3d,GLA,Superweapon,SCUD Storm,UBScudStrm_ACS,mp4,reject,,incomplete construction state or placeholder material,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07174--ubscudstrm-acs--544d6fce\GLA - Superweapon - SCUD Storm - UBScudStrm_ACS.mp4,,False
294,03280--ubblkmkteg-d--09917430,W3DZH.big\Art\W3D\UBBlkMktEG_D.w3d,GLA,Technology Building,Black Market,UBBlkMktEG_D,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03280--ubblkmkteg-d--09917430\GLA - Technology Building - Black Market - UBBlkMktEG_D.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03280--ubblkmkteg-d--09917430\GLA - Technology Building - Black Market - UBBlkMktEG_D.gif,True
295,05780--ubpalace--339f709f,"ZH_Generals\W3D.big\Art\W3D\Chem GLA Palace, Demo GLA Palace, GC Chem GLA Palace, GC Slth GLA Palace, GLA Palace, Slth GLA Palace - UBPalace.w3d",GLA,Technology Building,Palace,UBPalace,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05780--ubpalace--339f709f\GLA - Technology Building - Palace - UBPalace.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05780--ubpalace--339f709f\GLA - Technology Building - Palace - UBPalace.gif,True
296,03405--ubpalaceeg--72225459,W3DZH.big\Art\W3D\UBPalaceEG.w3d,GLA,Technology Building,Palace,UBPalaceEG,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03405--ubpalaceeg--72225459\GLA - Technology Building - Palace - UBPalaceEG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03405--ubpalaceeg--72225459\GLA - Technology Building - Palace - UBPalaceEG.gif,True
297,00144--cvcdtpln--7e9ede61,W3DZH.big\Art\W3D\Aircraft Crop Duster - CVCdtpln.w3d,Shared,Aviation,Aircraft Crop Duster,CVCdtpln,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00144--cvcdtpln--7e9ede61\Shared - Aviation - Aircraft Crop Duster - CVCdtpln.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00144--cvcdtpln--7e9ede61\Shared - Aviation - Aircraft Crop Duster - CVCdtpln.gif,True
298,02603--nvhelix-prop--ca85d5ea,"W3DZH.big\Art\W3D\Helix Blades, Tank Helix Blades - NVHelix_Prop.w3d",Shared,Aviation,Helix Blades,NVHelix_Prop,mp4,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02603--nvhelix-prop--ca85d5ea\Shared - Aviation - Helix Blades - NVHelix_Prop.mp4,,False
299,06972--zbsupplydk-a1--a6a526bf,ZH_Generals\W3D.big\Art\W3D\Supply Pile - ZBSupplyDk_A1.w3d,Shared,Base Building,Supply Pile,ZBSupplyDk_A1,gif,reject,,blank or effectively invisible,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06972--zbsupplydk-a1--a6a526bf\Shared - Base Building - Supply Pile - ZBSupplyDk_A1.gif,,False
300,03711--zbsupplywh-af--a852c6c6,W3DZH.big\Art\W3D\ZBSupplyWH_AF.w3d,Shared,Base Building,Supply Warehouse,ZBSupplyWH_AF,gif,reject,,component only or contextless subassembly,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03711--zbsupplywh-af--a852c6c6\Shared - Base Building - Supply Warehouse - ZBSupplyWH_AF.gif,,False
301,07312--zbhospital-a1--1ff33427,ZH_Generals\W3D.big\Art\W3D\ZBHospital_A1.w3d,Shared,Base Building,Tech Hospital,ZBHospital_A1,gif,reject,,blank or effectively invisible,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\07312--zbhospital-a1--1ff33427\Shared - Base Building - Tech Hospital - ZBHospital_A1.gif,,False
302,06980--zboderrick--7b2e9703,ZH_Generals\W3D.big\Art\W3D\Tech Oil Derrick - ZBODerrick.w3d,Shared,Base Building,Tech Oil Derrick,ZBODerrick,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06980--zboderrick--7b2e9703\Shared - Base Building - Tech Oil Derrick - ZBODerrick.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06980--zboderrick--7b2e9703\Shared - Base Building - Tech Oil Derrick - ZBODerrick.gif,False
303,03680--zbrefinery-en--04ea4d4a,W3DZH.big\Art\W3D\ZBRefinery_EN.w3d,Shared,Base Building,Tech Oil Refinery,ZBRefinery_EN,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03680--zbrefinery-en--04ea4d4a\Shared - Base Building - Tech Oil Refinery - ZBRefinery_EN.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03680--zbrefinery-en--04ea4d4a\Shared - Base Building - Tech Oil Refinery - ZBRefinery_EN.gif,False
304,03663--zblndbay-en--4ed00f17,W3DZH.big\Art\W3D\ZBLndBay_EN.w3d,Shared,Base Building,Tech Reinforcement Pad,ZBLndBay_EN,gif,reject,,blank or effectively invisible,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03663--zblndbay-en--4ed00f17\Shared - Base Building - Tech Reinforcement Pad - ZBLndBay_EN.gif,,False
305,03694--zbrprbay-es--aa103d75,W3DZH.big\Art\W3D\ZBRprBay_ES.w3d,Shared,Base Building,Tech Repairbay,ZBRprBay_ES,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03694--zbrprbay-es--aa103d75\Shared - Base Building - Tech Repairbay - ZBRprBay_ES.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03694--zbrprbay-es--aa103d75\Shared - Base Building - Tech Repairbay - ZBRprBay_ES.gif,False
306,03716--zbvalvstat-g--bcafd4c7,W3DZH.big\Art\W3D\ZBValvStat_G.w3d,Shared,Base Building,Valve Station,ZBValvStat_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03716--zbvalvstat-g--bcafd4c7\Shared - Base Building - Valve Station - ZBValvStat_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\03716--zbvalvstat-g--bcafd4c7\Shared - Base Building - Valve Station - ZBValvStat_G.gif,False
307,02533--cvtraincrsh01sm--ecb37077,W3DZH.big\Art\W3D\CVTrainCRSH01SM.w3d,Shared,Ground Vehicles,CV Train CRSH 01 SM,CVTrainCRSH01SM,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02533--cvtraincrsh01sm--ecb37077\Shared - Ground Vehicles - CV Train CRSH 01 SM - CVTrainCRSH01SM.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02533--cvtraincrsh01sm--ecb37077\Shared - Ground Vehicles - CV Train CRSH 01 SM - CVTrainCRSH01SM.mp4,True
308,04240--cveurovan3--e7c3e402,ZH_Generals\W3D.big\Art\W3D\Car Euro Police Van - CVEuroVan3.w3d,Shared,Ground Vehicles,Car Euro Police Van,CVEuroVan3,mp4,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04240--cveurovan3--e7c3e402\Shared - Ground Vehicles - Car Euro Police Van - CVEuroVan3.mp4,,False
309,05825--cvpolicecar2--c828aa93,ZH_Generals\W3D.big\Art\W3D\CINE Police Car - CVPoliceCar2.w3d,Shared,Ground Vehicles,Police Car,CVPoliceCar2,mp4,publish,gif,Police-light animation is a short subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05825--cvpolicecar2--c828aa93\Shared - Ground Vehicles - Police Car - CVPoliceCar2.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05825--cvpolicecar2--c828aa93\Shared - Ground Vehicles - Police Car - CVPoliceCar2.gif,False
310,06319--nbnmissle-a2dns--6457e3ff,ZH_Generals\W3D.big\Art\W3D\NBNMissle_A2DNS.w3d,Shared,Superweapon,Nuclear Missile Launcher,NBNMissle_A2DNS,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06319--nbnmissle-a2dns--6457e3ff\Shared - Superweapon - Nuclear Missile Launcher - NBNMissle_A2DNS.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06319--nbnmissle-a2dns--6457e3ff\Shared - Superweapon - Nuclear Missile Launcher - NBNMissle_A2DNS.mp4,True
311,06320--nbnmissle-a2ds--e80e2fab,ZH_Generals\W3D.big\Art\W3D\NBNMissle_A2DS.w3d,Shared,Superweapon,Nuclear Missile Launcher,NBNMissle_A2DS,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06320--nbnmissle-a2ds--e80e2fab\Shared - Superweapon - Nuclear Missile Launcher - NBNMissle_A2DS.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06320--nbnmissle-a2ds--e80e2fab\Shared - Superweapon - Nuclear Missile Launcher - NBNMissle_A2DS.mp4,True
312,00219--avcrusader-a--a4959b5d,W3DZH.big\Art\W3D\AVCrusader_A.w3d,USA,Armor,Crusader A,AVCrusader_A,mp4,publish,mp4,Complete recognizable subject with substantial or narratively useful mechanical motion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00219--avcrusader-a--a4959b5d\USA - Armor - Crusader A - AVCrusader_A.mp4,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00219--avcrusader-a--a4959b5d\USA - Armor - Crusader A - AVCrusader_A.mp4,True
313,04043--avcargopln--fcefb84c,"ZH_Generals\W3D.big\Art\W3D\Air F America Jet Cargo Plane, America Jet Cargo Plane, CINE U 04 America Jet Cargo Plane HIGH, CINE U 04 America Jet Cargo Plane LOW, CINE U 04 Am - AvCargoPln.w3d",USA,Aviation,Cargo Plane,AvCargoPln,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04043--avcargopln--fcefb84c\USA - Aviation - Cargo Plane - AvCargoPln.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04043--avcargopln--fcefb84c\USA - Aviation - Cargo Plane - AvCargoPln.gif,True
